,GP550R
RamanShit,Intensity,
2694.94,108.55,
2696.68,102.13,
2698.42,92.87,
2700.15,94.77,
2701.89,93.57,
2703.62,89.20,
2705.35,83.49,
2707.09,69.84,
2708.82,65.14,
2710.55,75.88,
2712.28,99.68,
2714.01,112.04,
2715.74,98.75,
2717.46,85.64,
2719.19,88.10,
2720.92,92.37,
2722.64,96.83,
2724.36,104.68,
2726.09,109.57,
2727.81,92.87,
2729.53,76.37,
2731.25,81.76,
2732.97,93.16,
2734.69,83.45,
2736.41,75.05,
2738.12,96.91,
2739.84,123.35,
2741.55,126.26,
2743.26,112.66,
2744.98,98.38,
2746.69,90.68,
2748.40,97.97,
2750.11,122.58,
2751.82,132.18,
2753.53,103.89,
2755.24,82.55,
2756.94,89.53,
2758.65,94.31,
2760.36,85.57,
2762.06,93.26,
2763.76,127.03,
2765.46,139.02,
2767.17,114.18,
2768.87,104.66,
2770.57,125.86,
2772.27,140.99,
2773.96,114.99,
2775.66,78.18,
2777.36,82.57,
2779.05,112.05,
2780.75,123.94,
2782.44,104.20,
2784.13,74.72,
2785.82,76.47,
2787.51,99.57,
2789.21,117.54,
2790.89,115.81,
2792.58,111.38,
2794.27,116.38,
2795.96,107.50,
2797.64,81.35,
2799.33,71.77,
2801.01,83.52,
2802.69,107.66,
2804.38,133.85,
2806.06,153.21,
2807.74,160.56,
2809.42,155.94,
2811.10,139.25,
2812.77,116.18,
2814.45,102.20,
2816.13,108.12,
2817.80,120.89,
2819.48,134.28,
2821.15,144.62,
2822.82,115.11,
2824.50,58.55,
2826.17,50.33,
2827.83,105.43,
2829.50,158.34,
2831.17,170.46,
2832.84,158.30,
2834.51,140.42,
2836.17,126.95,
2837.84,138.99,
2839.50,165.65,
2841.17,168.94,
2842.83,157.74,
2844.49,153.29,
2846.15,154.65,
2847.81,156.28,
2849.47,153.20,
2851.13,144.10,
2852.78,126.41,
2854.44,118.31,
2856.10,141.34,
2857.75,161.62,
2859.40,157.08,
2861.06,137.57,
2862.71,125.80,
2864.36,121.95,
2866.01,123.11,
2867.66,141.60,
2869.31,157.26,
2870.96,144.43,
2872.61,132.64,
2874.25,144.44,
2875.90,165.22,
2877.54,162.78,
2879.19,147.39,
2880.83,137.67,
2882.47,140.63,
2884.11,149.20,
2885.75,151.49,
2887.39,142.00,
2889.03,135.76,
2890.67,136.60,
2892.31,138.68,
2893.94,136.05,
2895.58,140.81,
2897.21,150.21,
2898.85,168.45,
2900.48,186.90,
2902.11,179.86,
2903.74,140.76,
2905.37,107.46,
2907.00,119.48,
2908.63,162.35,
2910.26,186.15,
2911.89,178.76,
2913.51,163.60,
2915.14,165.26,
2916.76,186.49,
2918.39,206.88,
2920.01,203.06,
2921.63,180.86,
2923.25,161.30,
2924.87,152.49,
2926.49,146.12,
2928.11,143.67,
2929.73,158.70,
2931.35,171.26,
2932.96,161.14,
2934.58,168.64,
2936.19,209.48,
2937.81,246.88,
2939.42,232.41,
2941.03,178.43,
2942.64,142.30,
2944.25,153.91,
2945.87,193.96,
2947.47,219.97,
2949.08,206.10,
2950.69,203.21,
2952.29,232.27,
2953.90,251.02,
